site,surber,taxa,linear_meas,Unit,dw,FFG,sibe
Warne,s1,Acari,0.99,mm,6.57e-6,CB,Pomeranz_25
Warne,s1,Austrosimulium,4.78,mm,3.27531e-4,FF,Pomeranz_25
Warne,s1,Austrosimulium,2.59,mm,7.43e-5,FF,Pomeranz_25
Warne,s1,Coloburiscus,2.39,mm,2.24831e-4,FF,Pomeranz_25
Warne,s1,Coloburiscus,2.78,mm,3.26591e-4,FF,Pomeranz_25
Warne,s1,Deleatidium,1.81,mm,2.82e-5,CB,Pomeranz_25
Warne,s1,Deleatidium,4.43,mm,4.35093e-4,CB,Pomeranz_25
Warne,s1,Deleatidium,2.79,mm,1.05935e-4,CB,Pomeranz_25
Warne,s1,Deleatidium,1.89,mm,3.22e-5,CB,Pomeranz_25
Warne,s1,Deleatidium,2.27,mm,5.64e-5,CB,Pomeranz_25
Warne,s1,Hydraenidae,1.81,mm,9.11307e-4,CB,Pomeranz_25
Warne,s1,Hydraenidae,1.93,mm,0.001121069,CB,Pomeranz_25
Warne,s1,Hydrobiosis,5.73,mm,2.64221e-4,P,Pomeranz_25
Warne,s1,Hydrobiosis,2.4,mm,3.82e-5,P,Pomeranz_25
Warne,s1,Orthocladiinae,1.67,mm,8.37e-5,CB,Pomeranz_25
Warne,s1,Orthocladiinae,2.15,mm,1.66432e-4,CB,Pomeranz_25
Warne,s1,Orthocladiinae,2.45,mm,2.37449e-4,CB,Pomeranz_25
Warne,s1,Orthocladiinae,2.55,mm,0.00026475099999999997,CB,Pomeranz_25
Warne,s1,Orthocladiinae,2.73,mm,3.18734e-4,CB,Pomeranz_25
Warne,s1,Orthocladiinae,2.78,mm,3.34868e-4,CB,Pomeranz_25
Warne,s1,Orthocladiinae,2.4,mm,2.24495e-4,CB,Pomeranz_25
Warne,s1,Orthocladiinae,2.12,mm,1.6019e-4,CB,Pomeranz_25
Warne,s1,Orthocladiinae,2.87,mm,3.6519e-4,CB,Pomeranz_25
Warne,s1,Orthocladiinae,2.56,mm,2.67585e-4,CB,Pomeranz_25
Warne,s1,Orthocladiinae,2.32,mm,2.04716e-4,CB,Pomeranz_25
Warne,s1,Orthocladiinae,2.34,mm,2.09553e-4,CB,Pomeranz_25
Warne,s1,Orthocladiinae,2.81,mm,3.4479e-4,CB,Pomeranz_25
Warne,s1,Orthocladiinae,1.7,mm,8.79e-5,CB,Pomeranz_25
Warne,s1,Orthocladiinae,2.75,mm,3.25127e-4,CB,Pomeranz_25
Warne,s1,Orthocladiinae,2.65,mm,2.9396e-4,CB,Pomeranz_25
Warne,s1,Orthocladiinae,2.94,mm,3.89934e-4,CB,Pomeranz_25
Warne,s1,Oxyethira,1.44,mm,3.65e-5,G,Pomeranz_25
Warne,s1,Oxyethira,2.16,mm,1.18372e-4,G,Pomeranz_25
Warne,s1,Oxyethira,2.08,mm,1.06097e-4,G,Pomeranz_25
Warne,s1,Oxyethira,2.05,mm,1.01718e-4,G,Pomeranz_25
Warne,s1,Oxyethira,1.88,mm,7.91e-5,G,Pomeranz_25
Warne,s1,Oxyethira,1.88,mm,7.91e-5,G,Pomeranz_25
Warne,s1,Zelandobius,1.37,mm,7e-5,CB,Pomeranz_25
Warne,s1,Aoteapsyche,1.15,mm,3.78e-6,O,Pomeranz_25
Warne,s1,Coloburiscus,1.8,mm,1.11619e-4,FF,Pomeranz_25
Warne,s1,Deleatidium,6.04,mm,0.0011219,CB,Pomeranz_25
Warne,s1,Deleatidium,1.82,mm,2.87e-5,CB,Pomeranz_25
Warne,s1,Hydrobiosis,3.09,mm,6.7e-5,P,Pomeranz_25
Warne,s1,Hydrobiosis,1.74,mm,1.87e-5,P,Pomeranz_25
Warne,s1,Orthocladiinae,2.59,mm,2.76203e-4,CB,Pomeranz_25
Warne,s1,Orthocladiinae,1.65,mm,8.1e-5,CB,Pomeranz_25
Warne,s1,Orthocladiinae,1.6,mm,7.45e-5,CB,Pomeranz_25
Warne,s1,Orthocladiinae,1.76,mm,9.65e-5,CB,Pomeranz_25
Warne,s1,Orthocladiinae,2.59,mm,2.76203e-4,CB,Pomeranz_25
Warne,s1,Orthocladiinae,2.08,mm,1.521e-4,CB,Pomeranz_25
Warne,s1,Orthocladiinae,1.45,mm,5.7e-5,CB,Pomeranz_25
Warne,s1,Oxyethira,1.01,mm,1.3e-5,G,Pomeranz_25
Warne,s1,Oxyethira,1.27,mm,2.54e-5,G,Pomeranz_25
Warne,s1,Oxyethira,0.96,mm,1.13e-5,G,Pomeranz_25
Warne,s1,Oxyethira,1.26,mm,2.48e-5,G,Pomeranz_25
Warne,s1,Oxyethira,1.08,mm,1.58e-5,G,Pomeranz_25
Warne,s1,Oxyethira,0.92,mm,9.95e-6,G,Pomeranz_25
Warne,s1,Oxyethira,0.89,mm,9.04e-6,G,Pomeranz_25
Warne,s1,Oxyethira,0.99,mm,1.23e-5,G,Pomeranz_25
Warne,s1,Oxyethira,1.65,mm,5.42e-5,G,Pomeranz_25
Warne,s1,Oxyethira,1.1,mm,1.67e-5,G,Pomeranz_25
Warne,s1,Oxyethira,0.8,mm,6.64e-6,G,Pomeranz_25
Warne,s1,Oxyethira,1.23,mm,2.31e-5,G,Pomeranz_25
Warne,s1,Zelandobius,0.96,mm,3.78e-5,CB,Pomeranz_25
Warne,s1,Zelandobius,1,mm,4.05e-5,CB,Pomeranz_25
Warne,s1,Zelandobius,0.94,mm,3.64e-5,CB,Pomeranz_25
Warne,s1,Ceratopogonidae,4.79,mm,3.95283e-4,P,Pomeranz_25
Warne,s1,Empididae,2.73,mm,1.96352e-4,P,Pomeranz_25
Warne,s1,Orthocladiinae,1.25,mm,3.81e-5,CB,Pomeranz_25
Warne,s1,Orthocladiinae,2.27,mm,1.92934e-4,CB,Pomeranz_25
Warne,s1,Oxyethira,0.9,mm,9.34e-6,G,Pomeranz_25
Warne,s1,Potamopyrgus,0.93,mm,6.92e-6,G,Pomeranz_25
Warne,s1,Potamopyrgus,1.17,mm,1.45e-5,G,Pomeranz_25
Warne,s1,Zelandobius,0.75,mm,2.46e-5,CB,Pomeranz_25
Warne,s1,Zelandobius,0.82,mm,2.87e-5,CB,Pomeranz_25
Warne,s1,Zelandobius,0.74,mm,2.4e-5,CB,Pomeranz_25
Warne,s2,Acari,0.67,mm,2.48e-6,CB,Pomeranz_25
Warne,s2,Acari,0.72,mm,2.96e-6,CB,Pomeranz_25
Warne,s2,Acari,0.6,mm,1.88e-6,CB,Pomeranz_25
Warne,s2,Aoteapsyche,2.46,mm,3.8e-5,O,Pomeranz_25
Warne,s2,Deleatidium,1.84,mm,2.97e-5,CB,Pomeranz_25
Warne,s2,Deleatidium,1.47,mm,1.5e-5,CB,Pomeranz_25
Warne,s2,Deleatidium,8.28,mm,0.002941287,CB,Pomeranz_25
Warne,s2,Deleatidium,8.66,mm,0.003373507,CB,Pomeranz_25
Warne,s2,Deleatidium,1.67,mm,2.21e-5,CB,Pomeranz_25
Warne,s2,Deleatidium,1.47,mm,1.5e-5,CB,Pomeranz_25
Warne,s2,Orthocladiinae,1.8,mm,1.02636e-4,CB,Pomeranz_25
Warne,s2,Orthocladiinae,2.2,mm,1.77174e-4,CB,Pomeranz_25
Warne,s2,Orthocladiinae,1.16,mm,3.11e-5,CB,Pomeranz_25
Warne,s2,Orthocladiinae,1.48,mm,6.03e-5,CB,Pomeranz_25
Warne,s2,Orthocladiinae,2.3,mm,1.9995e-4,CB,Pomeranz_25
Warne,s2,Orthocladiinae,2.78,mm,3.34868e-4,CB,Pomeranz_25
Warne,s2,Spaniocercoides,1.16,mm,1.7e-5,CB,Pomeranz_25
Warne,s2,Spaniocercoides,1.79,mm,5.04e-5,CB,Pomeranz_25
Warne,s3,Deleatidium,3.96,mm,3.08854e-4,CB,Pomeranz_25
Warne,s3,Deleatidium,4.06,mm,3.33309e-4,CB,Pomeranz_25
Warne,s3,Deleatidium,4.96,mm,6.14526e-4,CB,Pomeranz_25
Warne,s3,Deleatidium,6.86,mm,0.001655328,CB,Pomeranz_25
Warne,s3,Deleatidium,5.04,mm,6.45316e-4,CB,Pomeranz_25
Warne,s3,Deleatidium,6.36,mm,0.001313587,CB,Pomeranz_25
Warne,s3,Deleatidium,5.8,mm,9.91174e-4,CB,Pomeranz_25
Warne,s3,Deleatidium,4.98,mm,6.22128e-4,CB,Pomeranz_25
Warne,s3,Deleatidium,4.62,mm,4.94663e-4,CB,Pomeranz_25
Warne,s3,Oxyethira,1.28,mm,2.59e-5,G,Pomeranz_25
Warne,s3,Oxyethira,2.51,mm,1.83001e-4,G,Pomeranz_25
Warne,s3,Oxyethira,1.71,mm,6.01e-5,G,Pomeranz_25
Warne,s3,Oxyethira,2.36,mm,1.53044e-4,G,Pomeranz_25
Warne,s3,Oxyethira,2.32,mm,1.4564e-4,G,Pomeranz_25
Warne,s3,Oxyethira,1.72,mm,6.11e-5,G,Pomeranz_25
Warne,s3,Pycnocentria,1.26,mm,1.36e-5,CB,Pomeranz_25
Warne,s3,Spaniocercoides,3.92,mm,3.59206e-4,CB,Pomeranz_25
Warne,s3,Stenoperla,5.74,mm,3.3101e-4,P,Pomeranz_25
Warne,s3,Zephlebia,12.9,mm,0.008592675,CB,Pomeranz_25
Warne,s3,Acari,0.98,mm,6.41e-6,CB,Pomeranz_25
Warne,s3,Acari,0.81,mm,3.98e-6,CB,Pomeranz_25
Warne,s3,Acari,0.62,mm,2.04e-6,CB,Pomeranz_25
Warne,s3,Acari,0.86,mm,4.62e-6,CB,Pomeranz_25
Warne,s3,Aoteapsyche,1.2,mm,4.3e-6,O,Pomeranz_25
Warne,s3,Austrosimulium,1.99,mm,3.93e-5,FF,Pomeranz_25
Warne,s3,Hydrobiosis,2.19,mm,3.12e-5,P,Pomeranz_25
Warne,s3,Orthocladiinae,2.49,mm,2.48145e-4,CB,Pomeranz_25
Warne,s3,Orthocladiinae,2.95,mm,3.93552e-4,CB,Pomeranz_25
Warne,s3,Orthocladiinae,2.06,mm,1.48154e-4,CB,Pomeranz_25
Warne,s3,Orthocladiinae,2.75,mm,3.25127e-4,CB,Pomeranz_25
Warne,s3,Orthocladiinae,1.69,mm,8.65e-5,CB,Pomeranz_25
Warne,s3,Orthocladiinae,1.93,mm,1.24077e-4,CB,Pomeranz_25
Warne,s3,Orthocladiinae,2.44,mm,2.34821e-4,CB,Pomeranz_25
Warne,s3,Orthocladiinae,1.71,mm,8.93e-5,CB,Pomeranz_25
Warne,s3,Orthocladiinae,2.67,mm,3.00035e-4,CB,Pomeranz_25
Warne,s3,Orthocladiinae,2.59,mm,2.76203e-4,CB,Pomeranz_25
Warne,s3,Orthocladiinae,3.01,mm,4.15712e-4,CB,Pomeranz_25
Warne,s3,Orthocladiinae,2.48,mm,2.45443e-4,CB,Pomeranz_25
Warne,s3,Oxyethira,1.29,mm,2.65e-5,G,Pomeranz_25
Warne,s3,Oxyethira,1.28,mm,2.59e-5,G,Pomeranz_25
Warne,s3,Oxyethira,1.55,mm,4.52e-5,G,Pomeranz_25
Warne,s3,Oxyethira,1.21,mm,2.2e-5,G,Pomeranz_25
Warne,s3,Oxyethira,1.37,mm,3.16e-5,G,Pomeranz_25
Warne,s3,Oxyethira,2.17,mm,1.19969e-4,G,Pomeranz_25
Warne,s3,Oxyethira,1.25,mm,2.42e-5,G,Pomeranz_25
Warne,s3,Oxyethira,1.08,mm,1.58e-5,G,Pomeranz_25
Warne,s3,Spaniocercoides,0.81,mm,6.92e-6,CB,Pomeranz_25
Warne,s3,Spaniocercoides,1.28,mm,2.18e-5,CB,Pomeranz_25
Warne,s3,Spaniocercoides,1.45,mm,2.98e-5,CB,Pomeranz_25
Warne,s3,Tanypodinae,2.62,mm,2.84994e-4,CB,Pomeranz_25
Warne,s3,Aoteapsyche,1.05,mm,2.87e-6,O,Pomeranz_25
Warne,s3,Aoteapsyche,1.06,mm,2.95e-6,O,Pomeranz_25
Warne,s3,Aoteapsyche,0.98,mm,2.33e-6,O,Pomeranz_25
Warne,s3,Empididae,1.63,mm,1.03347e-4,P,Pomeranz_25
Warne,s3,Hydrobiosis,1.82,mm,2.07e-5,P,Pomeranz_25
Warne,s3,Oxyethira,1.23,mm,2.31e-5,G,Pomeranz_25
Warne,s3,Spaniocercoides,0.77,mm,6.1e-6,CB,Pomeranz_25
Warne,s3,Spaniocercoides,1.51,mm,3.29e-5,CB,Pomeranz_25
Warne,s3,Spaniocercoides,1.31,mm,2.31e-5,CB,Pomeranz_25
Warne,s3,Spaniocercoides,0.78,mm,6.3e-6,CB,Pomeranz_25
Warne,s3,Spaniocercoides,0.77,mm,6.1e-6,CB,Pomeranz_25
Warne,s3,Spaniocercoides,0.81,mm,6.92e-6,CB,Pomeranz_25
Warne,s3,Spaniocercoides,0.76,mm,5.9e-6,CB,Pomeranz_25
Warne,s3,Spaniocercoides,0.78,mm,6.3e-6,CB,Pomeranz_25
Warne,s3,Spaniocercoides,0.93,mm,9.79e-6,CB,Pomeranz_25
Warne,s3,Spaniocercoides,1.32,mm,2.35e-5,CB,Pomeranz_25
Warne,s3,Spaniocercoides,1.27,mm,2.14e-5,CB,Pomeranz_25
Coalbrookedale,s1,Acari,0.56,mm,1.58e-6,CB,Pomeranz_8
Coal,s1,Acari,0.73,mm,3.07e-6,CB,Pomeranz_7
Coalbrookedale,s1,Acari,0.64,mm,2.21e-6,CB,Pomeranz_8
Charming,s1,Acari,0.61,mm,1.96e-6,CB,Pomeranz_5
Portal,s1,Acari,0.67,mm,2.48e-6,CB,Pomeranz_20
Murray,s1,Acari,0.57,mm,1.65e-6,CB,Pomeranz_17
Murray,s1,Acari,0.6,mm,1.88e-6,CB,Pomeranz_17
Lankey,s1,Acari,0.69,mm,2.66e-6,CB,Pomeranz_14
One Horse Creek,s1,Acari,0.72,mm,2.96e-6,CB,Pomeranz_18
Kiwi,s1,Acari,0.7,mm,2.76e-6,CB,Pomeranz_13
One Horse Creek,s1,Acari,1.09,mm,8.36e-6,CB,Pomeranz_18
Chasm,s1,Acari,0.59,mm,1.8e-6,CB,Pomeranz_6
Portal,s1,Acari,0.66,mm,2.38e-6,CB,Pomeranz_20
Kiwi,s1,Acari,0.59,mm,1.8e-6,CB,Pomeranz_13
Lankey,s1,Acari,0.6,mm,1.88e-6,CB,Pomeranz_14
Burnet Tributary,s1,Acari,0.69,mm,2.66e-6,CB,Pomeranz_2
One Horse Creek,s1,Acari,0.62,mm,2.04e-6,CB,Pomeranz_18
Lankey,s1,Acari,0.53,mm,1.38e-6,CB,Pomeranz_14
Lankey,s1,Acari,0.51,mm,1.25e-6,CB,Pomeranz_14
Burnett,s1,Acari,0.57,mm,1.65e-6,CB,Pomeranz_3
Stream X,s1,Acari,0.81,mm,3.98e-6,CB,Pomeranz_21
Burnett,s1,Ameletopsis,4.92,mm,7.41399e-4,P,Pomeranz_3
Italian,s1,Aoteapsyche,1.83,mm,1.55e-5,O,Pomeranz_12
Lankey,s1,Aoteapsyche,2.13,mm,2.46e-5,O,Pomeranz_14
Stream X,s1,Aoteapsyche,1.27,mm,5.11e-6,O,Pomeranz_21
Stream X,s1,Aoteapsyche,1.6,mm,1.03e-5,O,Pomeranz_21
Charming,s1,Aoteapsyche,0.94,mm,2.05e-6,O,Pomeranz_5
Burnet Tributary,s1,Aoteapsyche,2.41,mm,3.57e-5,O,Pomeranz_2
Lankey,s1,Aoteapsyche,1.39,mm,6.72e-6,O,Pomeranz_14
Lankey,s1,Aoteapsyche,1.38,mm,6.58e-6,O,Pomeranz_14
Chasm,s1,Aoteapsyche,2.64,mm,4.71e-5,O,Pomeranz_6
Chasm,s1,Aoteapsyche,2,mm,2.03e-5,O,Pomeranz_6
Lankey,s1,Aoteapsyche,1.62,mm,1.07e-5,O,Pomeranz_14
Italian,s1,Aoteapsyche,2.09,mm,2.32e-5,O,Pomeranz_12
Chasm,s1,Aoteapsyche,1.51,mm,8.64e-6,O,Pomeranz_6
Sullivan West,s1,Aoteapsyche,2.27,mm,2.98e-5,O,Pomeranz_24
Kiwi,s1,Aoteapsyche,2.42,mm,3.62e-5,O,Pomeranz_13
Charming,s1,Aoteapsyche,0.88,mm,1.68e-6,O,Pomeranz_5
Charming,s1,Aoteapsyche,0.75,mm,1.03e-6,O,Pomeranz_5
Burke,s1,Aoteapsyche,1.22,mm,4.53e-6,O,Pomeranz_1
Sullivan East,s1,Aoteapsyche,0.76,mm,1.08e-6,O,Pomeranz_23
Italian,s1,Aoteapsyche,3.32,mm,9.44e-5,O,Pomeranz_12
Italian,s1,Aoteapsyche,2.99,mm,6.87e-5,O,Pomeranz_12
Lankey,s1,Aoteapsyche,2.32,mm,3.18e-5,O,Pomeranz_14
Lankey,s1,Aoteapsyche,2.21,mm,2.75e-5,O,Pomeranz_14
Burke,s1,Aoteapsyche,1.66,mm,1.15e-5,O,Pomeranz_1
Lankey,s1,Aoteapsyche,1.51,mm,8.64e-6,O,Pomeranz_14
Murray,s1,Aoteapsyche,0.99,mm,2.4e-6,O,Pomeranz_17
Italian,s1,Aoteapsyche,1.4,mm,6.87e-6,O,Pomeranz_12
Kiwi,s1,Aoteapsyche,3.07,mm,7.45e-5,O,Pomeranz_13
Burke,s1,Aoteapsyche,1.19,mm,4.2e-6,O,Pomeranz_1
Burke,s1,Aoteapsyche,2.29,mm,3.06e-5,O,Pomeranz_1
Italian,s1,Aoteapsyche,3.31,mm,9.36e-5,O,Pomeranz_12
Italian,s1,Aoteapsyche,2.35,mm,3.31e-5,O,Pomeranz_12
Italian,s1,Aoteapsyche,3.33,mm,9.53e-5,O,Pomeranz_12
Lankey,s1,Aoteapsyche,1.63,mm,1.09e-5,O,Pomeranz_14
Burke,s1,Aoteapsyche,1.28,mm,5.23e-6,O,Pomeranz_1
Burke,s1,Aoteapsyche,2.12,mm,2.42e-5,O,Pomeranz_1
Italian,s1,Aoteapsyche,2.21,mm,2.75e-5,O,Pomeranz_12
Italian,s1,Aoteapsyche,2.44,mm,3.71e-5,O,Pomeranz_12
Lankey,s1,Aoteapsyche,2.29,mm,3.06e-5,O,Pomeranz_14
Kiwi,s1,Aoteapsyche,1.76,mm,1.38e-5,O,Pomeranz_13
Italian,s1,Aoteapsyche,1.8,mm,1.47e-5,O,Pomeranz_12
Lankey,s1,Aoteapsyche,3.03,mm,7.16e-5,O,Pomeranz_14
Kiwi,s1,Aoteapsyche,2.16,mm,2.56e-5,O,Pomeranz_13
Burke,s1,Aoteapsyche,1.84,mm,1.57e-5,O,Pomeranz_1
Burke,s1,Aoteapsyche,1.65,mm,1.13e-5,O,Pomeranz_1
Italian,s1,Aoteapsyche,3.53,mm,1.13757e-4,O,Pomeranz_12
Lankey,s1,Aoteapsyche,1.61,mm,1.05e-5,O,Pomeranz_14
Lankey,s1,Aoteapsyche,2.91,mm,6.33e-5,O,Pomeranz_14
Lankey,s1,Aoteapsyche,3.21,mm,8.53e-5,O,Pomeranz_14
Burke,s1,Aoteapsyche,1.5,mm,8.47e-6,O,Pomeranz_1
Burke,s1,Aoteapsyche,1.59,mm,1.01e-5,O,Pomeranz_1
Burke,s1,Aoteapsyche,2.1,mm,2.35e-5,O,Pomeranz_1
Burke,s1,Aoteapsyche,1.54,mm,9.18e-6,O,Pomeranz_1
Burke,s1,Aoteapsyche,1.59,mm,1.01e-5,O,Pomeranz_1
Burke,s1,Aoteapsyche,1.69,mm,1.22e-5,O,Pomeranz_1
Lankey,s1,Aoteapsyche,1.76,mm,1.38e-5,O,Pomeranz_14
Lankey,s1,Aoteapsyche,1.81,mm,1.5e-5,O,Pomeranz_14
Coorang,S1,Aoteapsyche,8.06,mm,0.001393717,O,Pomeranz_9
Italian,s1,Aoteapsyche,2.16,mm,2.56e-5,O,Pomeranz_12
Italian,s1,Aoteapsyche,1.85,mm,1.6e-5,O,Pomeranz_12
Lankey,s1,Aoteapsyche,3.15,mm,8.05e-5,O,Pomeranz_14
Kiwi,s1,Aoteapsyche,5.33,mm,3.97267e-4,O,Pomeranz_13
Burke,s1,Aoteapsyche,2.2,mm,2.71e-5,O,Pomeranz_1
Lankey,s1,Aoteapsyche,3.25,mm,8.85e-5,O,Pomeranz_14
Lankey,s1,Aoteapsyche,2.1,mm,2.35e-5,O,Pomeranz_14
Italian,s1,Aoteapsyche,4.78,mm,2.85453e-4,O,Pomeranz_12
Italian,s1,Aoteapsyche,4.77,mm,2.83644e-4,O,Pomeranz_12
Italian,s1,Aoteapsyche,4.04,mm,1.71335e-4,O,Pomeranz_12
Burke,s1,Aoteapsyche,1.32,mm,5.75e-6,O,Pomeranz_1
Burke,s1,Aoteapsyche,1.23,mm,4.64e-6,O,Pomeranz_1
Lankey,s1,Aoteapsyche,3.8,mm,1.42273e-4,O,Pomeranz_14
Burke,s1,Aoteapsyche,1.62,mm,1.07e-5,O,Pomeranz_1
Lankey,s1,Aoteapsyche,3.01,mm,7.01e-5,O,Pomeranz_14
Italian,s1,Aoteapsyche,2.68,mm,4.93e-5,O,Pomeranz_12
Italian,s1,Aoteapsyche,5.1,mm,3.47491e-4,O,Pomeranz_12
Italian,s1,Aoteapsyche,3.66,mm,1.26954e-4,O,Pomeranz_12
Lankey,s1,Aoteapsyche,2.22,mm,2.78e-5,O,Pomeranz_14
Lankey,s1,Aoteapsyche,1.95,mm,1.88e-5,O,Pomeranz_14
Lankey,s1,Aoteapsyche,3.59,mm,1.19728e-4,O,Pomeranz_14
Lankey,s1,Aoteapsyche,4.84,mm,2.96466e-4,O,Pomeranz_14
Lankey,s1,Aoteapsyche,2.19,mm,2.67e-5,O,Pomeranz_14
Lankey,s1,Aoteapsyche,4.47,mm,2.32893e-4,O,Pomeranz_14
Lankey,s1,Aoteapsyche,3.02,mm,7.08e-5,O,Pomeranz_14
Burke,s1,Aoteapsyche,1.59,mm,1.01e-5,O,Pomeranz_1
Lankey,s1,Aoteapsyche,4.76,mm,2.81843e-4,O,Pomeranz_14
Lankey,s1,Aoteapsyche,3.91,mm,1.55144e-4,O,Pomeranz_14
Lankey,s1,Aoteapsyche,6.78,mm,8.24588e-4,O,Pomeranz_14
Lankey,s1,Aoteapsyche,6.03,mm,5.77728e-4,O,Pomeranz_14
Chasm,s1,Aphrophila,1.97,mm,4.73e-5,P,Pomeranz_6
One Horse Creek,s1,Archichauliodes,3.19,mm,8.95e-5,P,Pomeranz_18
One Horse Creek,s1,Archichauliodes,2.94,mm,7.19e-5,P,Pomeranz_18
Italian,s1,Archichauliodes,1.96,mm,2.43e-5,P,Pomeranz_12
One Horse Creek,s1,Archichauliodes,7.56,mm,9.02721e-4,P,Pomeranz_18
One Horse Creek,s1,Archichauliodes,3.51,mm,1.1563e-4,P,Pomeranz_18
One Horse Creek,s1,Archichauliodes,5.49,mm,3.8317e-4,P,Pomeranz_18
One Horse Creek,s1,Archichauliodes,13.56,mm,0.004316831,P,Pomeranz_18
Lankey,s1,Archichauliodes,1.92,mm,2.3e-5,P,Pomeranz_14
One Horse Creek,s1,Archichauliodes,7.45,mm,8.67969e-4,P,Pomeranz_18
Italian,s1,Archichauliodes,1.99,mm,2.53e-5,P,Pomeranz_12
One Horse Creek,s1,Archichauliodes,3.45,mm,1.10412e-4,P,Pomeranz_18
One Horse Creek,s1,Archichauliodes,14.56,mm,0.005223146,P,Pomeranz_18
One Horse Creek,s1,Archichauliodes,13.16,mm,0.00398415,P,Pomeranz_18
One Horse Creek,s1,Archichauliodes,6.23,mm,5.37623e-4,P,Pomeranz_18
One Horse Creek,s1,Archichauliodes,4.33,mm,2.02904e-4,P,Pomeranz_18
Italian,s1,Archichauliodes,5.67,mm,4.17751e-4,P,Pomeranz_12
One Horse Creek,s1,Archichauliodes,3.08,mm,8.15e-5,P,Pomeranz_18
One Horse Creek,s1,Archichauliodes,3.75,mm,1.3804e-4,P,Pomeranz_18
One Horse Creek,s1,Archichauliodes,14.09,mm,0.0047837,P,Pomeranz_18
One Horse Creek,s1,Archichauliodes,11.55,mm,0.002808926,P,Pomeranz_18
Sullivan West,s1,Austroclima,5.63,mm,9.05053e-4,CB,Pomeranz_24
Italian,s1,Austroperla,3.03,mm,1.47294e-4,S,Pomeranz_12
Coorang,S1,Austroperla,1.82,mm,3.93e-5,S,Pomeranz_9
Coorang,S1,Austroperla,1.61,mm,2.86e-5,S,Pomeranz_9
Charming,s1,Austroperla,1.57,mm,2.68e-5,S,Pomeranz_5
Burke,s1,Austroperla,3.82,mm,2.68462e-4,S,Pomeranz_1
Burke,s1,Austroperla,3.84,mm,2.72119e-4,S,Pomeranz_1
Coorang,S1,Austrosimulium,1.27,mm,1.32e-5,FF,Pomeranz_9
Coorang,S1,Austrosimulium,1.62,mm,2.39e-5,FF,Pomeranz_9
Kiwi,s1,Austrosimulium,1.98,mm,3.88e-5,FF,Pomeranz_13
Kiwi,s1,Austrosimulium,1.4,mm,1.68e-5,FF,Pomeranz_13
Lankey,s1,Austrosimulium,2.38,mm,6.06e-5,FF,Pomeranz_14
Kiwi,s1,Austrosimulium,5.08,mm,3.79525e-4,FF,Pomeranz_13
Lankey,s1,Austrosimulium,1.25,mm,1.27e-5,FF,Pomeranz_14
Lankey,s1,Austrosimulium,2.97,mm,1.03515e-4,FF,Pomeranz_14
Burke,s1,Austrosimulium,1.28,mm,1.35e-5,FF,Pomeranz_1
Burke,s1,Austrosimulium,2.91,mm,9.85e-5,FF,Pomeranz_1
Burnett,s1,Austrosimulium,2.46,mm,6.56e-5,FF,Pomeranz_3
Kiwi,s1,Austrosimulium,1.78,mm,3e-5,FF,Pomeranz_13
Lankey,s1,Austrosimulium,1.33,mm,1.48e-5,FF,Pomeranz_14
Kiwi,s1,Austrosimulium,1.68,mm,2.61e-5,FF,Pomeranz_13
Kiwi,s1,Austrosimulium,1.75,mm,2.88e-5,FF,Pomeranz_13
Kiwi,s1,Austrosimulium,1.48,mm,1.92e-5,FF,Pomeranz_13
Lankey,s1,Austrosimulium,1.44,mm,1.79e-5,FF,Pomeranz_14
Coorang,S1,Austrosimulium,1.52,mm,2.05e-5,FF,Pomeranz_9
Lankey,s1,Austrosimulium,1.87,mm,3.38e-5,FF,Pomeranz_14
Lankey,s1,Austrosimulium,1.33,mm,1.48e-5,FF,Pomeranz_14
Lankey,s1,Austrosimulium,1.26,mm,1.3e-5,FF,Pomeranz_14
Coorang,S1,Austrosimulium,2.13,mm,4.63e-5,FF,Pomeranz_9
Lankey,s1,Austrosimulium,3.22,mm,1.25882e-4,FF,Pomeranz_14
Sullivan East,s1,Austrosimulium,0.7,mm,3.13e-6,FF,Pomeranz_23
Chasm,s1,Austrosimulium,1.24,mm,1.25e-5,FF,Pomeranz_6
Lankey,s1,Austrosimulium,1.53,mm,2.08e-5,FF,Pomeranz_14
Lankey,s1,Austrosimulium,1.68,mm,2.61e-5,FF,Pomeranz_14
Italian,s1,Austrosimulium,1.84,mm,3.25e-5,FF,Pomeranz_12
Lankey,s1,Austrosimulium,2.31,mm,5.63e-5,FF,Pomeranz_14
Lankey,s1,Austrosimulium,3.16,mm,1.20279e-4,FF,Pomeranz_14
Lankey,s1,Austrosimulium,2.34,mm,5.81e-5,FF,Pomeranz_14
Lankey,s1,Austrosimulium,2.78,mm,8.82e-5,FF,Pomeranz_14
Coorang,S1,Austrosimulium,0.73,mm,3.47e-6,FF,Pomeranz_9
Burke,s1,Austrosimulium,3.57,mm,1.61596e-4,FF,Pomeranz_1
Chasm,s1,Austrosimulium,2.18,mm,4.9e-5,FF,Pomeranz_6
Lankey,s1,Austrosimulium,2.53,mm,7.02e-5,FF,Pomeranz_14
Burke,s1,Austrosimulium,1.24,mm,1.25e-5,FF,Pomeranz_1
Burke,s1,Austrosimulium,2.71,mm,8.29e-5,FF,Pomeranz_1
Coorang,S1,Austrosimulium,5.14,mm,3.90467e-4,FF,Pomeranz_9
